"timestamp","heartrate"
1477502890000,65
1477502900000,65
1477502915000,65
1477502930000,65
1477502945000,65
1477502950000,66
1477502960000,77
1477502970000,77
1477502980000,77
1477502990000,74
1477503000000,70
1477503010000,69
1477503025000,69
1477503035000,69
1477503050000,70
1477503060000,71
1477503070000,70
1477503080000,69
1477503095000,69
1477503100000,67
1477503115000,67
1477503120000,67
1477503125000,66
1477503140000,65
1477503145000,65
1477503155000,66
1477503160000,69
1477503165000,71
1477503170000,73
1477503175000,71
1477503180000,70
1477503190000,72
1477503200000,73
1477503205000,74
1477503210000,72
1477503215000,73
1477503225000,70
1477503230000,67
1477503235000,66
1477503245000,66
1477503250000,65
1477503265000,65
1477503280000,65
1477503285000,67
1477503290000,70
1477503295000,71
1477503300000,73
1477503305000,74
1477503310000,74
1477503320000,76
1477503330000,74
1477503335000,72
1477503340000,73
1477503345000,74
1477503350000,73
1477503355000,73
1477503365000,66
1477503370000,70
1477503375000,69
1477503380000,67
1477503385000,66
1477503390000,65
1477503405000,65
1477503420000,67
1477503425000,69
1477503430000,72
1477503445000,68
1477503460000,68
1477503470000,70
1477503485000,71
1477503490000,70
1477503500000,61
1477503510000,70
1477503520000,71
1477503535000,71
1477503545000,70
1477503560000,70
1477503570000,71
1477503580000,69
1477503585000,68
1477503600000,68
1477503605000,67
1477503610000,66
1477503615000,65
1477503620000,64
1477503635000,64
1477503640000,65
1477503645000,71
1477503650000,70
1477503660000,69
1477503670000,68
1477503680000,67
1477503685000,67
1477503695000,68
1477503710000,70
1477503720000,70
1477503735000,70
1477503740000,72
1477503750000,70
1477503755000,70
1477503760000,70
1477503775000,69
1477503790000,70
1477503795000,71
1477503810000,71
1477503815000,72
1477503825000,70
1477503830000,67
1477503840000,67
1477503845000,68
1477503850000,66
1477503860000,72
1477503870000,73
1477503875000,71
1477503880000,70
1477503890000,71
1477503895000,70
1477503910000,70
1477503920000,74
1477503930000,73
1477503940000,71
1477503950000,71
1477503965000,71
1477503970000,70
1477503985000,70
1477503990000,73
1477503995000,73
1477504000000,73
1477504010000,72
1477504020000,71
